product,quantity_sold,price,date,region
Laptop,11,50822,2025-01-17,North
Phone,24,19799,2025-01-22,North
Tablet,11,30592,2025-01-06,North
Laptop,11,50079,2025-01-25,South
Phone,35,20784,2025-01-18,South
Tablet,37,30040,2025-01-04,South
Laptop,39,49851,2025-01-13,East
Phone,21,19047,2025-01-24,East
Tablet,36,30432,2025-01-11,East
Laptop,38,50136,2025-01-12,West
Phone,24,19181,2025-01-03,West
Tablet,28,31164,2025-01-02,West
Laptop,39,50983,2025-02-07,North
Phone,31,18995,2025-02-19,North
Tablet,33,29563,2025-02-02,North
Laptop,43,49837,2025-02-23,South
Phone,33,20835,2025-02-19,South
Tablet,15,29592,2025-02-12,South
Laptop,26,48631,2025-02-14,East
Phone,13,20730,2025-02-18,East
Tablet,42,30735,2025-02-10,East
Laptop,43,49732,2025-02-09,West
Phone,41,19611,2025-02-02,West
Tablet,25,30887,2025-02-05,West
Laptop,25,48889,2025-03-18,North
Phone,25,19490,2025-03-06,North
Tablet,28,30510,2025-03-24,North
Laptop,24,48982,2025-03-21,South
Phone,31,20601,2025-03-03,South
Tablet,19,30804,2025-03-21,South
Laptop,24,50915,2025-03-22,East
Phone,22,21195,2025-03-08,East
Tablet,16,30548,2025-03-16,East
Laptop,13,50999,2025-03-05,West
Phone,37,18522,2025-03-20,West
Tablet,37,30841,2025-03-17,West
Laptop,25,50616,2025-04-07,North
Phone,36,20167,2025-04-12,North
Tablet,26,30206,2025-04-01,North
Laptop,13,49236,2025-04-03,South
Phone,24,20505,2025-04-17,South
Tablet,25,31066,2025-04-15,South
Laptop,10,50795,2025-04-15,East
Phone,31,20196,2025-04-14,East
Tablet,11,30178,2025-04-20,East
Laptop,19,50309,2025-04-01,West
Phone,20,19810,2025-04-25,West
Tablet,15,29329,2025-04-11,West
Laptop,44,51061,2025-05-01,North
Phone,16,20965,2025-05-02,North
Tablet,39,29344,2025-05-23,North
Laptop,18,49803,2025-05-17,South
Phone,12,20171,2025-05-13,South
Tablet,37,31489,2025-05-17,South
Laptop,23,49719,2025-05-11,East
Phone,38,19463,2025-05-05,East
Tablet,20,28568,2025-05-03,East
Laptop,11,50815,2025-05-19,West
Phone,33,19886,2025-05-18,West
Tablet,13,31202,2025-05-13,West
Laptop,42,48957,2025-06-13,North
Phone,33,19987,2025-06-12,North
Tablet,14,29643,2025-06-06,North
Laptop,19,50551,2025-06-16,South
Phone,30,19585,2025-06-24,South
Tablet,11,29528,2025-06-03,South
Laptop,20,51386,2025-06-10,East
Phone,41,19985,2025-06-18,East
Tablet,24,29297,2025-06-20,East
Laptop,43,49290,2025-06-20,West
Phone,17,20651,2025-06-20,West
Tablet,24,30711,2025-06-07,West
Laptop,10,48789,2025-07-12,North
Phone,41,18882,2025-07-12,North
Tablet,34,29107,2025-07-19,North
Laptop,19,50926,2025-07-15,South
Phone,28,19030,2025-07-12,South
Tablet,39,28558,2025-07-19,South
Laptop,26,50659,2025-07-17,East
Phone,23,19426,2025-07-16,East
Tablet,13,30252,2025-07-03,East
Laptop,32,50386,2025-07-03,West
Phone,36,19747,2025-07-20,West
Tablet,9,29038,2025-07-13,West
Laptop,14,49489,2025-08-17,North
Phone,13,20533,2025-08-03,North
Tablet,14,30263,2025-08-20,North
Laptop,14,49400,2025-08-24,South
Phone,44,20243,2025-08-12,South
Tablet,20,30337,2025-08-15,South
Laptop,18,48568,2025-08-04,East
Phone,43,19754,2025-08-13,East
Tablet,25,30848,2025-08-02,East
Laptop,11,49327,2025-08-13,West
Phone,32,19972,2025-08-12,West
Tablet,42,28983,2025-08-15,West
Laptop,28,49920,2025-09-21,North
Phone,17,21362,2025-09-09,North
Tablet,28,30062,2025-09-22,North
Laptop,24,49353,2025-09-01,South
Phone,21,20979,2025-09-01,South
Tablet,41,30129,2025-09-04,South
Laptop,19,50162,2025-09-08,East
Phone,12,20498,2025-09-17,East
Tablet,12,29343,2025-09-07,East
Laptop,32,50691,2025-09-19,West
Phone,42,20806,2025-09-09,West
Tablet,11,30344,2025-09-23,West
Laptop,44,49190,2025-10-06,North
Phone,9,18923,2025-10-14,North
Tablet,28,29613,2025-10-08,North
Laptop,38,49880,2025-10-21,South
Phone,43,19451,2025-10-06,South
Tablet,43,30405,2025-10-08,South
Laptop,31,50045,2025-10-23,East
Phone,17,21475,2025-10-24,East
Tablet,14,28993,2025-10-14,East
Laptop,9,49396,2025-10-11,West
Phone,43,21478,2025-10-04,West
Tablet,40,28772,2025-10-19,West
Laptop,39,51173,2025-11-06,North
Phone,41,18848,2025-11-13,North
Tablet,25,29448,2025-11-01,North
Laptop,36,49507,2025-11-17,South
Phone,23,19621,2025-11-23,South
Tablet,11,30710,2025-11-19,South
Laptop,22,49287,2025-11-01,East
Phone,42,21344,2025-11-07,East
Tablet,9,28868,2025-11-02,East
Laptop,38,51176,2025-11-04,West
Phone,35,19037,2025-11-10,West
Tablet,30,30660,2025-11-22,West
Laptop,9,49089,2025-12-08,North
Phone,19,21495,2025-12-20,North
Tablet,19,31416,2025-12-13,North
Laptop,26,49801,2025-12-04,South
Phone,42,18541,2025-12-05,South
Tablet,16,29338,2025-12-04,South
Laptop,8,50533,2025-12-25,East
Phone,12,19389,2025-12-13,East
Tablet,42,30583,2025-12-20,East
Laptop,29,49751,2025-12-05,West
Phone,39,20913,2025-12-01,West
Tablet,34,28753,2025-12-19,West
